Song Name,Artists,Released Dates,Popularity,Duration,Album Type,valence,energy,danceability,acousticness,mood,Spotify URL,Cover Image
Phulkari,Ranjit Bawa,2019-12-20,17,244035,compilation,0.56,0.39,0.38,0.39,Romantic / Warm,https://open.spotify.com/search/Phulkari%20Ranjit%20Bawa,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Pure Love,GKhan,2021-09-13,18,236842,single,0.63,0.48,0.47,0.41,Happy / Upbeat,https://open.spotify.com/search/Pure%20Love%20GKhan,https://i.scdn.co/image/ab67616d0000b27358aaa16806543d3d26820aff
Nit Khair Mangan,Nusrat Fateh Ali Khan,2018-08-08,23,911895,album,0.45,0.22,0.17,0.9,Soulful / Devotional,https://open.spotify.com/search/Nit%20Khair%20Mangan%20Nusrat%20Fateh%20Ali%20Khan,https://i.scdn.co/image/ab67616d0000b2738a525d665cea953b5c61e0a1
Romantic Punjab Urban Jatti Love,Amit Walia Thakur,2020-06-15,12,242053,single,0.52,0.35,0.57,0.36,Mellow / Reflective,https://open.spotify.com/search/Romantic%20Punjab%20Urban%20Jatti%20Love%20Amit%20Walia%20Thakur,https://i.scdn.co/image/ab67616d0000b2731c4939f7e527303cb6a00142
"Sharara (From ""Sharara"")",Shivjot,2022-04-15,11,208282,compilation,0.59,0.45,0.54,0.38,Romantic / Warm,https://open.spotify.com/search/Sharara%20%28From%20%22Sharara%22%29%20Shivjot,https://i.scdn.co/image/ab67616d0000b2735df2659df08c48209ea8044a
Robo,Gagan Kokri,2019-12-20,9,213733,compilation,0.45,0.24,0.4,0.43,Melancholic / Heartbroken,https://open.spotify.com/search/Robo%20Gagan%20Kokri,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Romantic Love Mashup By DJ Dalal,Shahid Mallya,2020-08-04,18,261317,single,0.49,0.79,0.88,0.2,Intense / Angsty,https://open.spotify.com/search/Romantic%20Love%20Mashup%20By%20DJ%20Dalal%20Shahid%20Mallya,https://i.scdn.co/image/ab67616d0000b273700330d5e1f5fa8b84670273
Feel,Romey Maan,2018-12-14,25,166363,single,0.54,0.4,0.55,0.41,Mellow / Reflective,https://open.spotify.com/search/Feel%20Romey%20Maan,https://i.scdn.co/image/ab67616d0000b273c4927464b77466dc5565fb15
Top 5 Valentine's Hits,Nimrat Khaira,2022-02-09,10,413245,single,0.49,0.36,0.41,0.28,Melancholic / Heartbroken,https://open.spotify.com/search/Top%205%20Valentine%27s%20Hits%20Nimrat%20Khaira,https://i.scdn.co/image/ab67616d0000b2737e749b974f13b8eda427e73c
"Naina (From ""Manje Bistre 2 "")",Karamjit Anmol,2019-12-20,14,266083,compilation,0.56,0.46,0.52,0.34,Happy / Upbeat,https://open.spotify.com/search/Naina%20%28From%20%22Manje%20Bistre%202%20%22%29%20Karamjit%20Anmol,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
